cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
11680784000243,11680784,FILIAL,ATIVA,2023-11-29,20190819,7111100,SP,7107,2135,"100000,00",DEMAIS,Serviços de arquitetura,OUTRAS ATIVIDADES DE SERVIÇOS
12228895000367,12228895,FILIAL,ATIVA,2023-01-03,20190809,5620101,SP,6619,2062,"150000,00",EMPRESA DE PEQUENO PORTE,Fornecimento de alimentos preparados preponderantemente para empresas,OUTRAS ATIVIDADES DE SERVIÇOS
12228895001258,12228895,FILIAL,ATIVA,2023-01-03,20190816,5620101,SP,6477,2062,"150000,00",EMPRESA DE PEQUENO PORTE,Fornecimento de alimentos preparados preponderantemente para empresas,OUTRAS ATIVIDADES DE SERVIÇOS
12228895000367,12228895,FILIAL,ATIVA,2023-01-03,20190809,5620101,SP,6619,2062,"150000,00",EMPRESA DE PEQUENO PORTE,Fornecimento de alimentos preparados preponderantemente para empresas,OUTRAS ATIVIDADES DE SERVIÇOS
12228895001258,12228895,FILIAL,ATIVA,2023-01-03,20190816,5620101,SP,6477,2062,"150000,00",EMPRESA DE PEQUENO PORTE,Fornecimento de alimentos preparados preponderantemente para empresas,OUTRAS ATIVIDADES DE SERVIÇOS
12228895000367,12228895,FILIAL,ATIVA,2023-01-03,20190809,5620101,SP,6619,2062,"150000,00",EMPRESA DE PEQUENO PORTE,Fornecimento de alimentos preparados preponderantemente para empresas,OUTRAS ATIVIDADES DE SERVIÇOS
12228895001258,12228895,FILIAL,ATIVA,2023-01-03,20190816,5620101,SP,6477,2062,"150000,00",EMPRESA DE PEQUENO PORTE,Fornecimento de alimentos preparados preponderantemente para empresas,OUTRAS ATIVIDADES DE SERVIÇOS
29273146000192,29273146,MATRIZ,ATIVA,2023-11-23,20171214,4520007,SP,6929,2135,"20000,00",MICRO EMPRESA,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",OUTRAS ATIVIDADES DE SERVIÇOS
27626162000196,27626162,MATRIZ,ATIVA,2023-05-09,20170429,7319002,SP,7107,2135,"25000,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
32093667000172,32093667,MATRIZ,ATIVA,2023-10-12,20181124,4755502,SP,6789,2135,"25500,00",MICRO EMPRESA,Comercio varejista de artigos de armarinho,OUTRAS ATIVIDADES DE SERVIÇOS
27899661000157,27899661,MATRIZ,ATIVA,2023-12-04,20170605,7319002,SP,7079,2135,"100000,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
